id,name,power,price,type,level,width,desc
59f05bdda8fa9b726b0742ca,RollerMiner S4,1160,2600000,basic,0,1,"This is our basic miner, the most popular among newbies. So, if you are new to mining, you should definitely check out this one."
5a0b022dd1d9ee5894f36f2d,RollerMiner S7,1320,3000000,basic,0,1,The famous S7 model is where mining starts getting addictive. It is much more powerful as the basic one and will be your first serious purchase you will remember.
5a0b08a7d1d9ee5894f36f2e,Rolleron 741,2730,7500000,basic,0,1,"Now we start talking! Owning one of these, you definitely don’t belong to the beginners anymore."
5a0b08a9d1d9ee5894f36f2f,RollerMiner S5+,4000,9000000,basic,0,1,"Don’t get confused with the model name. This S5+ will leave his younger brother S7 far behind in mining power, but it will cost you."
5a0b08abd1d9ee5894f36f30,RollerMiner R4,6000,12500000,basic,0,1,"A middle-class miner for the ambitious part-time crypto enthusiast. Noticeably more powerful than the S5+, this machine will gain you more bitcoins in reward."
5a0b08afd1d9ee5894f36f31,Rolleron Miner 761,6500,15000000,basic,0,1,"Being the direct competitor of the R4, this miner provides you with 0.2Th/s greater speed for only 2.5 RLT more. If you have money, you might want to spend it on this nice little machine."
5a0b08b0d1d9ee5894f36f32,RollerMiner S9,14500,36000000,basic,0,2,"Now you are in the premier league. This powerful machine is for the advanced crypto enthusiast. Owning one of these, you definitely qualify to play with the big dogs."
5a0b08b1d1d9ee5894f36f33,Dragonroller 16T,16000,41000000,basic,0,2,It’s not enough for you to play with the big boys but you want to kick ass? Than this should be the least you can start with.
5a0b08b3d1d9ee5894f36f34,Rollerfury B8,19300,59000000,basic,0,2,The Rolls Royce of the miners. Absolute luxury class. This machine is designed for miners who don’t mess around and just take the best. Enjoy!
5e2ee460041b386e78b97c28,Scarabey,8000,16000000,basic,0,1,"Opening the limited Golden Abyss line of miners, the Scarabey is legally the most beautiful miner on the market. Don't be tricked by its cuteness, this golden bug is strong."
5e2ee460041b386e78b97c29,Gold Digger,15000,24000000,basic,0,1,"The first miner in 1-cell category to compete with 2-cell RollerMiner S9. 500 GH/s more power, less space on the shelf and killer-look - that's the Golden Abyss style. Take the best and beat the rest!"
5e2ee460041b386e78b97c2a,Dream Demolisher 3000,70000,110000000,basic,0,2,POWER BEYOND INSANITY. Brought to you by limited anniversary GOLDEN ABYSS series.
5f9ae5284ac419fdd08d0584,Chupacabra,14000,17000000,basic,0,1,"The legendary creature, surrounded by mystery for centuries. No one ever saw it... until now."
5f9ae5584ac419fdd08d08cd,El Monstro,110000,99000000,basic,0,2,The red beast from another dimension. Strong enough to change your mining game for ages.
5f9ae5844ac419fdd08d0bee,Jack-o'-Miner,99900,132000000,basic,0,2,"Spookiest miner ever. Don't, just don't look him in the eyes! Buy it at your own risk. Available for purchase during Halloween season ONLY."
5fc782f1c69784c31ae30519,Legacy Hasher 2019,250000,0,basic,0,2,Premium and exclusive. This miner was made especially for the players that supported RollerCoin in the Crowdsale 2019 event.
5fd9ea94101f34db22cee8da,Santa Sleigh,160000,99000000,basic,0,2,Christmas vibe is real! Celebrate the day with the new Santa Sleigh miner! Only available for purchase during the New Year season.
604f569e8402c6550b2b936b,Clover Lover,155000,86250000,basic,0,2,This Irish green miner brings luck to every home it's placed in. The Clover Lover is a unique miner that is on sale only during the St Patrick's event.
607eedae65dce86c86e95319,DOGER 420,199000,2990000,basic,0,2,"Celebrate the DOGE day with a special DOGE miner! It mines, it borks! SUCH DOGE VERY WOW! Only available for purchase during the DOGE days."
6087feb365dce86c869c1d04,MINERVERSARY III,900000,299000000,basic,0,2,The Hamster is holding a B-Day party! Celebrate RollerCoin’s 3 Years Anniversary with the sweet cake-alike Minerversary III machine! This miner is limited to only 1500 Pieces for the whole game!
60c7438d65dce86c865da09e,The Glimpse,50000,0,basic,0,1,"The best things in life come in small packages. The Glimpse is tiny, yet powerful enough to light up the whole mining room! Perfection Series Miner."
60c743d665dce86c865f2251,Prisma,140000,0,basic,0,2,"Straight edges, vibrant colours and tremendous power. 2-Cell miner with 3 massive coolers to get you to the Moon! Perfection Series Miner."
60c7441465dce86c86607522,Aurum,200000,0,basic,0,2,Pure gold - solid and cold! The Aurum is a well optimised mining machine with astonishing looks! Perfection Series Miner.
60c7444c65dce86c8661a2af,Perfection,400000,0,basic,0,2,"The PERFECTION is built different. Like clockwork, it’s made of the finest materials and ready for the next level of crypto mining. Perfection Series Miner."
60c9ab6d65dce86c8664e541,RollerMillion,1000000,333000000,basic,0,2,"RollerMillion in RollerCoin is something we could never expect! RollerMillion is a limited edition miner dedicated to celebrating 1,000,000 Rollers! This miner is limited to only 1500 Pieces for the whole game!"
60c9bbce65dce86c86c22a25,Milly,70000,33000000,basic,0,2,Milly stands for million. A million users in RollerCoin! Celebrate this once in a lifetime moment with a brand new Milly miner!
60c9bc0965dce86c86c372fe,Milly Mini,25000,13000000,basic,0,1,Milly Mini is a pretty and affordable version of Milly Miner. Celebrate this once in a lifetime moment with a brand new Milly Mini miner!
610a9a96bf6b53744c845ba0,TAPEBOY,12200,10000000,basic,0,1,Reliable and affordable miner with great cost-efficiency. Only available for purchase in Weekly Offers exclusively.
610a9ae2bf6b53744c860a30,JBS-200,13000,11000000,basic,0,1,Reliable and affordable miner with great cost-efficiency. Only available for purchase in Weekly Offers exclusively.
610a9b31bf6b53744c87cedc,CP-106,11106,12000000,basic,0,1,Reliable and affordable miner with great cost-efficiency. Only available for purchase in Weekly Offers exclusively.
610a9b67bf6b53744c890647,TAPEMAN,25600,20000000,basic,0,2,Reliable and affordable miner with great cost-efficiency. Only available for purchase in Weekly Offers exclusively.
610a9bcabf6b53744c8b3c79,JBS-144,27700,22000000,basic,0,2,Reliable and affordable miner with great cost-efficiency. Only available for purchase in Weekly Offers exclusively.
610a9c19bf6b53744c8d085b,TYPE-Z,38000,28000000,basic,0,2,Reliable and affordable miner with great cost-efficiency. Only available for purchase in Weekly Offers exclusively.
610a9c61bf6b53744c8ea0d4,CP-306,30000,24000000,basic,0,2,Reliable and affordable miner with great cost-efficiency. Only available for purchase in Weekly Offers exclusively.
611d2605bf6b53744c49e333,Sunset City,95000,49990000,basic,0,2,Orange tones of the evening sun over the working town inspired this urban themed mining machine.
611e222abf6b53744ca040a2,Underwater,95000,49990000,basic,0,2,From the depths of the sea it comes. Special water cooling system allows this miner to be deeply appreciated.
611e2490bf6b53744cad6620,Hokusai,95000,49990000,basic,0,2,"The bloom, the piece, the ocean. Embrace the sensation of the calm wave inside of your mining room!"
611e27d8bf6b53744cbf488c,Retro Night,95000,49990000,basic,0,2,This is how your dream city looks like. Feeling old yet?
611e2995bf6b53744cc8cf63,Starground,210000,99990000,basic,0,2,This space explorer will get you to the Moon!
611e2b04bf6b53744cd0c093,Steamwheedle,360000,149990000,basic,0,2,"The last train home, or far away from the motherland? Who cares, GET IN this mining machine!"
611e485ebf6b53744c700a3b,Boneyard,700000,249990000,basic,0,2,The ancient grave of the unknown creatures has been discovered by archeologists and portrayed on this mining machine. Will you dare to own it?
611e49e6bf6b53744c784427,SKAM,1,9999990000,basic,0,2,Literally a scam.
61532146db5008102f9f77e1,Gravity,500000,0,basic,0,2,The force of attraction between this mining machine and your crypto rewards is indestructible. Just like gravity! Dark Star Series Miner.
61532146db5008102f9f77e2,Paradox,350000,0,basic,0,2,The Fermi Paradox tells us that aliens (do not) exist. But where else would you get this cosmic miner? Dark Star Series Miner.
61532146db5008102f9f77e4,Photon,125000,0,basic,0,1,Is it a particle or wave? The answer is – mining machine! Dark Star Series Miner.
61532146db5008102f9f77e3,Anti–Phaze,125000,0,basic,0,1,Harmonically balanced miner. In-built speaker is set to a pleasant frequency to make you swing while you mine. Dark Star Series Miner.
61532146db5008102f9f77e5,Serenity,30000,0,basic,0,2,"A wave of pleasant Ether you can feel. Serenity, comfort. Keep calm and mine it!"
61532146db5008102f9f77e7,Survivor,75000,0,basic,0,2,"Stable and confident. Survived three explosions, one end of the world and a cat scratch."
61532146db5008102f9f77e6,Candysweet,250000,0,basic,0,2,"What is that taste? It is shiny, round and very sweet. Is that a candy, or a Bitcoin on your tongue?"
61532146db5008102f9f77e9,Ancient,500000,0,basic,0,2,"You won't need Lara Croft here to make this ancient wonder work. No traps, fully domesticated demon snake on your rack."
61532146db5008102f9f77e8,The Icarus,225000,100000000,basic,0,2,"Sunbeam-proof, extra wings and no melting wax – this is the new Icarus. Brings you real revenue instead of sunburns!"
61532146db5008102f9f77ee,Mycelium,35000,0,basic,0,2,"Still think that the blue whale is the biggest creature in the world? Actually, a mushroom is, so the mining is better."
